"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Mar 17 15:52:34 CST 2022","Thu Mar 17 15:52:36 CST 2022","2132","testcase","test_login","TestLogin","","","登录测试"," 登录 "
"passed","Thu Mar 17 15:53:06 CST 2022","Thu Mar 17 15:53:22 CST 2022","16598","testcase","test_power_manage","TestPowerManage","","","电站查询测试",""
"passed","Thu Mar 17 15:52:19 CST 2022","Thu Mar 17 15:52:22 CST 2022","2131","testcase","test_login","TestLogin","","","登录测试"," 登录 "
"passed","Thu Mar 17 15:52:49 CST 2022","Thu Mar 17 15:52:53 CST 2022","4207","testcase","test_login","TestLogin","","","登录测试"," 登录 "
"passed","Thu Mar 17 15:52:02 CST 2022","Thu Mar 17 15:52:07 CST 2022","4208","testcase","test_big_screen","TestBigScreen","","","大屏测试",""
